node_1,node_2,edge,chunk_id,node_3,node_4,node_5,node_6,node_7,count
casino royale,german edit,"The context mentions that the German edit of Casino Royale cuts a scene, implying it was originally present in the edit.",f681aa1078964183ac53177fc230315f,,,,,,4
casino royale,highest-grossing instalment of the james bond series,"Until Skyfall surpassed it in November 2012, Casino Royale held this position.",0d8194a4bb26444bb44e5b7f0bce8941,,,,,,4
casino royale,$594.2 million worldwide total,This is the total gross earned by Casino Royale worldwide.,0d8194a4bb26444bb44e5b7f0bce8941,,,,,,4
casino royale,"non-uk, irish, us and canada markets","Casino Royale opened at the first position in these markets on November 18, 2006.",0d8194a4bb26444bb44e5b7f0bce8941,,,,,,4
casino royale,james bond series,Casino Royale is an instalment of the James Bond series.,0d8194a4bb26444bb44e5b7f0bce8941,,,,,,4
casino royale,review aggregator website rotten tomatoes,"On this website, Casino Royale received an approval rating of 94% based on 263 reviews.",0d8194a4bb26444bb44e5b7f0bce8941,,,,,,4
casino royale,$167.4 million in the united states and canada,This is the gross earned by Casino Royale in the US and Canada.,0d8194a4bb26444bb44e5b7f0bce8941,,,,,,4
casino royale,$426.8 million from international territories,This is the gross earned by Casino Royale from international markets.,0d8194a4bb26444bb44e5b7f0bce8941,,,,,,4
casino royale,november 2006,"On this date, Casino Royale opened at the first position in 27 countries.",0d8194a4bb26444bb44e5b7f0bce8941,,,,,,4
casino royale,box office for four weeks,Casino Royale held the top spot at the worldwide box office for this duration.,0d8194a4bb26444bb44e5b7f0bce8941,,,,,,4
casino royale,critical consensus,This is a statement summarizing the critical reception of Casino Royale.,0d8194a4bb26444bb44e5b7f0bce8941,,,,,,4
casino royale,rotten tomatoes,This website provided an approval rating for Casino Royale based on reviews.,0d8194a4bb26444bb44e5b7f0bce8941,,,,,,4
casino royale,metacritic,This is the website that provided Casino Royale's weighted average score of 80 out of 100 based on 46 critics.,0d8194a4bb26444bb44e5b7f0bce8941,,,,,,4
casino royale,a−,This is the grade given to Casino Royale by audiences polled by CinemaScore.,0d8194a4bb26444bb44e5b7f0bce8941,,,,,,4
craig,bond,"Craig's portrayal of Bond was particularly praised for embodying Ian Fleming's original portrait of the character as ironic, brutal, and cold. This was noted by critics such as Paul Arendt of BBC Films, Kim Newman of Empire, and Todd McCarthy of Variety.",b22dda815ff546ca8fb027d3961e09e4,,,,,,4
craig,conventional portrayal of bond,"During production, Craig had been subject to debate by the media and the public as he did not appear to fit Ian Fleming's original portrait of the character as tall, dark, and suave.",b22dda815ff546ca8fb027d3961e09e4,,,,,,4
craig,quality of craig's characterization,The Daily Telegraph compared the quality of Craig's characterization of Bond to Sean Connery's and praised the script as smartly written.,b22dda815ff546ca8fb027d3961e09e4,,,,,,4
craig,timothy dalton,Critics compared Craig's portrayal of Bond to that of Timothy Dalton.,b22dda815ff546ca8fb027d3961e09e4,,,,,,4
production,criticism by media and public,"During production, Craig had been subject to debate by the media and the public.",b22dda815ff546ca8fb027d3961e09e4,,,,,,4
the film,msnbc,The film received a perfect 5 star rating from MSNBC.,0b70e2e140864a17b839825054787f53,,,,,,4
the film,north america,The film was similarly well received in North America.,0b70e2e140864a17b839825054787f53,,,,,,4
msnbc,the movie,MSNBC gave the movie a perfect 5 star rating.,0b70e2e140864a17b839825054787f53,,,,,,4
vesper lynd,best bond girl,Chooses Vesper Lynd as the fourth best Bond girl in the series.,0b70e2e140864a17b839825054787f53,,,,,,4
the film,top 5,Named as the fifth best of the series by Entertainment Weekly.,0b70e2e140864a17b839825054787f53,,,,,,4
james bond,character,"Takes James Bond 'back to his roots', similar to From Russia with Love.",0b70e2e140864a17b839825054787f53,,,,,,4
high-tech gadgets,visual effects,Were strongly criticized in Die Another Day.,0b70e2e140864a17b839825054787f53,,,,,,4
craig,bond,Craig makes a superb Bond,0b70e2e140864a17b839825054787f53,,,,,,4
bond,wounded by life and his job,"Who gives the sense of a hard man, wounded by life and his job,",0b70e2e140864a17b839825054787f53,,,,,,4
bond,emotions,"Who nevertheless cares about people and right and wrong,",0b70e2e140864a17b839825054787f53,,,,,,4
bond,screwed-up bond,"This is a screwed-up Bond, a rogue Bond, a bounder, a scrapper and, in the movie's astoundingly bleak coda, an openhearted lover.",0b70e2e140864a17b839825054787f53,,,,,,4
bond,mamet-worthy snarl,"This Roger Ebert quote 'crisp, hateful, Mamet-worthy snarl '",0b70e2e140864a17b839825054787f53,,,,,,4
emotions,real emotions,Whereas nobody in a Bond movie ever seems to have any real emotions.,0b70e2e140864a17b839825054787f53,,,,,,4
roger ebert,academy award nomination,Considered Craig a viable candidate for an Academy Award nomination.,0b70e2e140864a17b839825054787f53,,,,,,4
bond,bond girls as sex objects,"The film backed off from past criticism of Bond girls being sex objects, but Bond himself is sexually objectified in this film. A moment where he rises from the sea is reminiscent of Ursula Andress in Dr. No; he feels 'skewered' by Vesper Lynd's criticism of him; and though it would be almost unthinkable now have a female character in a mainstream film stripped naked and threatened with genital mutilation, that is exactly what happens to Bond in this film.",6d00216318924d05aca354bf0d85829f,,,,,,4
bond,craig's bond,"Craig's Bond is close to Fleming's because he is 'humourless', but is also different because 'Fleming's Bond did not enjoy killing; Craig's Bond seems almost to relish it.'",6d00216318924d05aca354bf0d85829f,,,,,,4
bond,polished article,The once invincible James Bond becomes just another joint at the meat market.,6d00216318924d05aca354bf0d85829f,,,,,,4
craig's bond,fleming's bond,Craig's Bond is 'not yet the polished article'; he felt his incarnation of Bond is close to Fleming's because he is 'humourless',6d00216318924d05aca354bf0d85829f,,,,,,4
bond girls as sex objects,mainstream film,"And though it would be almost unthinkable now have a female character in a mainstream film stripped naked and threatened with genital mutilation, that is exactly what happens to Bond in [the film].",6d00216318924d05aca354bf0d85829f,,,,,,4
james bond,daniel craig,"Roger Moore stated that Daniel Craig's portrayal of James Bond in Casino Royale impressed him greatly and introduced a more gritty, unrefined edge to the character. Moore described Craig's interpretation as like nothing they had seen before, with Jimmy Bond earning his stripes and making mistakes. The script showed Craig's character as vulnerable, troubled, and flawed, which was quite the opposite of Moore's Bond. Moore praised Craig's performance, saying it was very much the Bond Ian Fleming had described in the books - a ruthless killing machine.",09863a1d12744f6181e36a40ccf9308c,,,,,,4
roger moore,casino royale,Moore mentioned that he thought Sean Connery might have to move over for Daniel Craig after being impressed by Craig's debut performance in Casino Royale. He also stated that his praise was not heaped lightly and that he had to purchase the DVD himself.,09863a1d12744f6181e36a40ccf9308c,,,,,,4
james bond,greg brady,John Beifuss of The Commercial Appeal compared James Bond's learning a lesson about ego in Casino Royale to Greg Brady in his 'Johnny Bravo' phase.,09863a1d12744f6181e36a40ccf9308c,,,,,,4
james bond,greg brady (character),Anthony Lane of The New Yorker compared James Bond's wanting to be 007 in Casino Royale to Greg Brady from the TV series 'The Brady Bunch.',09863a1d12744f6181e36a40ccf9308c,,,,,,4
casino royale,perfect bond film,"Raymond Benson, the author of nine Bond novels, called Casino Royale 'a perfect Bond film'.",09863a1d12744f6181e36a40ccf9308c,,,,,,4
casino royale,best film of the year,"In December 2006, Casino Royale was named the best film of the year by viewers of Film 2006.",ad9db20887f94f599d4ecb6db47edd40,,,,,,4
casino royale,daniel craig,Casino Royale features Daniel Craig in the role of James Bond.,ad9db20887f94f599d4ecb6db47edd40,,,,,,4
michael medved,casino royale,"American radio personality Michael Medved gave the film three stars out of four, describing it as 'intriguing, audacious and very original ... more believable and less cartoonish, than previous 007 extravaganzas'.",ad9db20887f94f599d4ecb6db47edd40,,,,,,4
casino royale,sluggish pacing,Michael Medved commented that the 'sometimes sluggish pacing will frustrate some Bond fanatics.',ad9db20887f94f599d4ecb6db47edd40,,,,,,4
emanuel levy,casino royale,Critics such as Emanuel Levy responded to Casino Royale.,ad9db20887f94f599d4ecb6db47edd40,,,,,,4
emanuel levy,ending,Emanuel Levy felt the ending was too long.,ad9db20887f94f599d4ecb6db47edd40,,,,,,4
emanuel levy,depth,Emanuel Levy commented that the film's terrorist villains lacked depth.,ad9db20887f94f599d4ecb6db47edd40,,,,,,4
tim adams,casino royale,Tim Adams of The Observer responded negatively to Casino Royale.,ad9db20887f94f599d4ecb6db47edd40,,,,,,4
del monte superfruit smoothies,daniel craig,"In 2008, Entertainment Weekly named Casino Royale the 19th-best film of the past 25 years.",ad9db20887f94f599d4ecb6db47edd40,,,,,,4
del monte superfruit smoothies,casino royale,"In 2008, Del Monte Superfruit Smoothies launched an ice lolly moulded to resemble Daniel Craig emerging from the sea.",ad9db20887f94f599d4ecb6db47edd40,,,,,,4
casino royale,film award for best sound,"Casino Royale won the Film Award for Best Sound at the 2006 British Academy of Film and Television Arts Awards. This award was won by Chris Munro, Eddy Joseph, Mike Prestwood Smith, Martin Cantwell, and Mark Taylor.",6e489154a4304111904730fe9f5d25fb,,,,,,4
casino royale,orange rising star award,Eva Green won the Orange Rising Star Award at the 2006 British Academy of Film and Television Arts Awards. Casino Royale was also awarded at this event.,6e489154a4304111904730fe9f5d25fb,,,,,,4
casino royale,alexander korda award for best british film of the year,Casino Royale was nominated for the Alexander Korda Award for Best British Film of the Year at the 2006 British Academy of Film and Television Arts Awards.,6e489154a4304111904730fe9f5d25fb,,,,,,4
neal purvis,robert wade,The screenplay for Casino Royale was written by Neal Purvis and Robert Wade.,6e489154a4304111904730fe9f5d25fb,,,,,,4
david arnold,film award for best film music,The film award for best film music at the 2006 British Academy of Film and Television Arts Awards was won by David Arnold's work on Casino Royale.,6e489154a4304111904730fe9f5d25fb,,,,,,4
phil méheux,best cinematography,Casino Royale was nominated for the award of best cinematography at the 2006 British Academy of Film and Television Arts Awards. Phil Méheux was responsible for the film's cinematography.,6e489154a4304111904730fe9f5d25fb,,,,,,4
stuart baird,best editing,"The editing for Casino Royale was handled by Stuart Baird, who was also nominated for the best editing award at the 2006 British Academy of Film and Television Arts Awards.",6e489154a4304111904730fe9f5d25fb,,,,,,4
peter lamont,simon wakefield,"The design elements of Casino Royale were handled by Peter Lamont and Simon Wakefield, who were nominated for the best production design award at the 2006 British Academy of Film and Television Arts Awards.",6e489154a4304111904730fe9f5d25fb,,,,,,4
steve begg,chris corbould,"The visual effects for Casino Royale were handled by Steve Begg, Chris Corbould, John Paul Docherty, and Ditch Doy. They were also nominated for the best achievement in special visual effects award at the 2006 British Academy of Film and Television Arts Awards.",6e489154a4304111904730fe9f5d25fb,Ditch Doy,,,,,4
daniel craig,best actor,Daniel Craig's performance as James Bond in Casino Royale was nominated for the best actor award at the 2006 British Academy of Film and Television Arts Awards.,6e489154a4304111904730fe9f5d25fb,,,,,,4
casino royale,excellence in production design award,"From the Art Directors Guild, won by Casino Royale",a7d35c83af2d46348116fb725c7a0274,,,,,,4
casino royale,international press academy satellite award for best original song,For 'You Know My Name' sung by Chris Cornell,a7d35c83af2d46348116fb725c7a0274,,,,,,4
casino royale,best action/adventure/thriller film,Nominated for in the Saturn Awards,a7d35c83af2d46348116fb725c7a0274,,,,,,4
daniel craig,best actor,"In Casino Royale, nominated for in the Saturn Awards",a7d35c83af2d46348116fb725c7a0274,,,,,,4
eva green,best supporting actress,"For her role in Casino Royale, nominated for in the Saturn Awards",a7d35c83af2d46348116fb725c7a0274,,,,,,4
"(purvis, wade and haggis)",best writing,"For Casino Royale, nominated for in the Saturn Awards",a7d35c83af2d46348116fb725c7a0274,,,,,,4
david arnold,best music,"For his work on Casino Royale, nominated for in the Saturn Awards",a7d35c83af2d46348116fb725c7a0274,,,,,,4
casino royale,wide release film of the year,According to the Golden Tomato Awards,a7d35c83af2d46348116fb725c7a0274,,,,,,4
