node_1,node_2,edge,chunk_id,node_3,node_4,node_5,node_6,node_7,node_8,node_9,count
la la land,tom charity of sight & sound,"stated, ""Chazelle has crafted that rare thing, a genuinely romantic comedy, and as well, a rhapsody in blue, red, yellow and green""",7feb31480dd040e5b2cca9144bee43d9,,,,,,,,4
la la land,ty burr of the boston globe,"summarized the effectiveness of the film to relate to audiences stating: ""...the movie traffics in the bittersweet happiness of treasuring things that are vanishing, like the unrealized future imagined in the climactic dance number, or those inky, star-filled dance floors that go on forever in old movies,""",7feb31480dd040e5b2cca9144bee43d9,,,,,,,,4
hollywood musicals,la la land,"Hollywood musicals, as portrayed in the climactic dance number of La La Land, represent an unrealized future imagined by the characters.",084150f516244b61a1343492242735af,,,,,,,,4
dance floors,la la land,"The dance floors depicted in old movies are inky and star-filled, and go on forever.",084150f516244b61a1343492242735af,,,,,,,,4
nightclubs,sebastian,"In an early scene, Sebastian passionately defends jazz music at a nightclub.",084150f516244b61a1343492242735af,,,,,,,,4
jazz music,sebastian,"Throughout the movie, Sebastian is a strong advocate for jazz music and believes it deserves to be preserved.",084150f516244b61a1343492242735af,,,,,,,,4
sebastian,la la land,"In the scene where Sebastian defends jazz music at the nightclub, he speaks for the director and represents the audience's perspective as well.",084150f516244b61a1343492242735af,,,,,,,,4
la la land,moonlight,sharpened attention on questions of racial sensitivity and unexamined white privilege in the characters of film after the election of Donald Trump.,9ca061001cc64eb6a9920db410ecc3ba,,,,,,,,4
la la land,african-american film moonlight,La La Land's competition for awards and critical attention with the African-American film Moonlight shortly after the election of Donald Trump,9ca061001cc64eb6a9920db410ecc3ba,,,,,,,,4
moonlight,la la land',La La Land's competition for awards and critical attention with the African-American film Moonlight shortly after the election of Donald Trump,9ca061001cc64eb6a9920db410ecc3ba,,,,,,,,4
gosling's character,a 'white savior',"criticized for its treatment of race and jazz. Kelly Lawler of USA Today noted that Gosling's character has been referred to as a 'white savior' by some critics, for 'his quest (and eventual success) to save the traditionally black musical genre from extinction, seemingly the only person who can accomplish such a goal.'",9ca061001cc64eb6a9920db410ecc3ba,,,,,,,,4
ruby lott-lavigna,wired,"expressed by Ruby Lott-Lavigna of Wired,[101] Anna Silman of New York,[102] and Ira Madison III of MTV News.[103]",9ca061001cc64eb6a9920db410ecc3ba,,,,,,,,4
rex reed,new york observer,"also took aim at the film's intention to emulate the MGM musical classics, writing that 'the old-fashioned screenplay, by the ambitious writer-director Damien Chazelle, reeks of mothballs', and that 'the movie sags badly in the middle, like a worn-out mattress that needs new springs'.",9ca061001cc64eb6a9920db410ecc3ba,,,,,,,,4
south china morning post,dull,"The South China Morning Post remarked that the film was ""a little dull"".",fd3f5a587fba47129a112e6e04d1184e,,,,,,,,4
two leads' singing and dancing,unexceptional,Much of the public criticism was towards the two leads' singing and dancing being considered unexceptional.,fd3f5a587fba47129a112e6e04d1184e,,,,,,,,4
stone's character,lack of nuance,The lack of nuance in Stone's character was one of the criticisms towards the film.,fd3f5a587fba47129a112e6e04d1184e,,,,,,,,4
gosling,insufferable,"Occasionally seen as insufferable, Gosling's performance was one of the criticisms towards the film.",fd3f5a587fba47129a112e6e04d1184e,,,,,,,,4
la la land,modern classic,"Since its release, La La Land continues to receive acclaim and is regarded as a modern classic due to its captivating performances, attention to detail, and its assent to previous movie musicals such as Singin' in the Rain.",6898c1dbfbc347098e80af5a4cd85933,,,,,,,,4
la la land,one of the best films of all time,"Since its release, La La Land continues to receive acclaim and is regarded as one of the best films of all time due to its captivating performances, attention to detail, and its assent to previous movie musicals such as Singin' in the Rain.",6898c1dbfbc347098e80af5a4cd85933,,,,,,,,4
la la land,previous movie musicals such as singin' in the rain,"Since its release, La La Land continues to receive acclaim and is regarded as one of the best films of all time due to its captivating performances, attention to detail, and its assent to previous movie musicals such as Singin' in the Rain.",6898c1dbfbc347098e80af5a4cd85933,,,,,,,,4
la la land,helena trauger,"In 2021, Helena Trauger of The Beacon called it the best film of the 2010s, stating that it is 'one of the most creative and well-executed films that every person should attempt to watch at least once.'",6898c1dbfbc347098e80af5a4cd85933,,,,,,,,4
la la land,cbc radio,"In 2019, CBC Radio included it on its list of 'the greatest romantic movies of all time.'",6898c1dbfbc347098e80af5a4cd85933,,,,,,,,4
best movie musicals of the 21st century so far,film,MovieWeb ranked the film number 2 on its list of the 'Best Movie Musicals of the 21st Century So Far' in both 2022 and (implicitly) at the time of writing.,04b2c6db432f4fc0af251895e41088b9,,,,,,,,4
film,number 3 on its list of the '15 greatest movies about jazz',"In 2023, MovieWeb ranked the film number 3 on its list of the '15 Greatest Movies About Jazz'",04b2c6db432f4fc0af251895e41088b9,,,,,,,,4
film,number 1 on its list of the 'best modern movies shot on film',"In 2023, MovieWeb ranked the film number 1 on its list of the 'Best Modern Movies Shot on Film'",04b2c6db432f4fc0af251895e41088b9,,,,,,,,4
film,number 2 on teen vogue's list of 'the 45 best dance movies of all time',"According to Teen Vogue, the film ranked number 2 on its list of 'The 45 Best Dance Movies of All Time'",04b2c6db432f4fc0af251895e41088b9,,,,,,,,4
musicals,film,The film is a modern update/homage to classic Hollywood musicals that were popular in the 1950s without ever feeling derivative or mocking,04b2c6db432f4fc0af251895e41088b9,,,,,,,,4
lead roles,emma stone and ryan gosling,"In the film, both Emma Stone and Ryan Gosling gave great performances that are up there with the best of their respective careers",04b2c6db432f4fc0af251895e41088b9,,,,,,,,4
la la land,67 best movie musicals of all time,Parade ranked La La Land at number 8 on its list of the '67 Best Movie Musicals of All Time.',3643431ecd42448f945323602a180edf,,,,,,,,4
la la land,modern showbiz melodrama,"As Samuel R. Murrian wrote, La La Land is 'many things, thusly its own creation: deftly blending a modern showbiz melodrama.'",3643431ecd42448f945323602a180edf,,,,,,,,4
la la land,giddy throwback,"As Samuel R. Murrian wrote, La La Land is 'many things, thusly its own creation: deftly blending a modern showbiz melodrama, a giddy throwback.'",3643431ecd42448f945323602a180edf,,,,,,,,4
la la land,striking love story,"As Samuel R. Murrian wrote, La La Land is 'many things, thusly its own creation: deftly blending a modern showbiz melodrama, a giddy throwback, a striking love story.'",3643431ecd42448f945323602a180edf,,,,,,,,4
la la land,catchy and rememberable songs,"According to Wilson Chapman, curation editor for IndieWire, pieces such as 'Another Day of Sun' and 'A Lovely Night' are 'catchy and rememberable.'",3643431ecd42448f945323602a180edf,,,,,,,,4
la la land,finest written for any movie this century,"According to Wilson Chapman, curation editor for IndieWire, pieces such as 'City of Stars' and others of Hurwitz's scores are 'some of the finest written for any movie this century.'",3643431ecd42448f945323602a180edf,,,,,,,,4
la la land,oscar-winning song 'city of stars',The context mentions that the Oscar-winning 'City of Stars' is a piece in La La Land.,3643431ecd42448f945323602a180edf,,,,,,,,4
looper,51 best pg-13 movies of all time,"According to Looper, La La Land is ranked number 11 on its list of the '51 Best PG-13 Movies of All Time'.",3643431ecd42448f945323602a180edf,,,,,,,,4
looper,deeply affecting feature,"According to Looper, La La Land is a 'deeply affecting feature thanks to a pair of great performances from Emma Stone and Ryan Gosling.'",3643431ecd42448f945323602a180edf,,,,,,,,4
moonlight,la la land (parody in the simpsons episode 'haw-haw land'),"The closing of The Simpsons episode 'Haw-Haw Land' mistakenly stated that it was a parody of Moonlight rather than La La Land, which itself was being parodied.",4258917ca9f949fdabe33c7e3cd48688,,,,,,,,4
la la land,popular culture references,Many elements of the film have been referenced numerous times in popular culture since its release.,4258917ca9f949fdabe33c7e3cd48688,,,,,,,,4
visual style (parody in 74th golden globe awards),"parodies of 'another day of sun,' 'city of stars' and the planetarium sequence",The entire opening segment of the 74th Golden Globe Awards featured parodies of these elements from La La Land.,4258917ca9f949fdabe33c7e3cd48688,,,,,,,,4
parodies of 'another day of sun',ny ny land (independently produced short film),"The 2018 single 'Love Scenario' by IKON drew heavy inspiration from the epilogue sequence in La La Land, which was parodied in NY NY Land.",4258917ca9f949fdabe33c7e3cd48688,,,,,,,,4
parodies of 'another day of sun',saturday night live (skit),"A skit on season 42 of Saturday Night Live parodied the film, with host Aziz Ansari playing a character who was criticized for calling it 'overrated' because of its Oscar nominations.",4258917ca9f949fdabe33c7e3cd48688,,,,,,,,4
parodies of 'another day of sun',disney animated short film 'us again',The 2021 Disney animated short film 'Us Again' was also said to have been influenced by the film.,4258917ca9f949fdabe33c7e3cd48688,,,,,,,,4
la la land,emma stone,Emma Stone won the Volpi Cup for Best Actress at the Venice Film Festival for her role in La La Land.,4258917ca9f949fdabe33c7e3cd48688,,,,,,,,4
la la land,best film,La La Land won the prestigious award of Best Film at the 74th Golden Globe Awards.,2dc51cd356194a96946d75bc755a86ee,,,,,,,,4
la la land,best director,"Damien Chazelle, the director of La La Land, received the award for Best Director at the 74th Golden Globe Awards.",2dc51cd356194a96946d75bc755a86ee,,,,,,,,4
emma stone,best actress in a leading role,"The lead actress of La La Land, Emma Stone, won the award for Best Actress in a Leading Role at the 74th Golden Globe Awards.",2dc51cd356194a96946d75bc755a86ee,,,,,,,,4
ryan gosling,best actor – comedy or musical,"The male lead of La La Land, Ryan Gosling, won the award for Best Actor – Comedy or Musical at the 74th Golden Globe Awards.",2dc51cd356194a96946d75bc755a86ee,,,,,,,,4
la la land,best screenplay,"The screenplay of La La Land, written by Damien Chazelle, won the award for Best Screenplay at the 74th Golden Globe Awards.",2dc51cd356194a96946d75bc755a86ee,,,,,,,,4
la la land,best original score,"The original score of La La Land, composed by Justin Hurwitz, won the award for Best Original Score at the 74th Golden Globe Awards.",2dc51cd356194a96946d75bc755a86ee,,,,,,,,4
la la land,best original song ('city of stars'),"The song 'City of Stars' from La La Land, sung by Ryan Gosling and Emma Stone, won the award for Best Original Song at the 74th Golden Globe Awards.",2dc51cd356194a96946d75bc755a86ee,,,,,,,,4
la la land,best picture,"At the 89th Academy Awards, La La Land received a leading six awards, namely Best Director, Best Actress (for Stone), Best Cinematography, Best Original Score, Best Original Song (""City of Stars""), and Best Production Design.[123] Its other nominations were Best Picture, Best Actor (for Gosling), Best Original Screenplay, Best Film Editing, Best Costume Design, a second nomination for Best Original Song (""Audition (The Fools Who Dream)""), Best Sound Editing, and Best Sound Mixing.[125] During the Oscars ceremony, presenter Faye Dunaway incorrectly announced that La La Land had won Best Picture, reading from the card Warren Beatty opened, which was actually a duplicate of the Best Actress card for Emma Stone.[126]",ec56e12953db41d9b76c0b7dc5780004,,,,,,,,4
la la land,best director,"At the 89th Academy Awards, La La Land received a leading six awards, namely Best Director, Best Actress (for Stone), Best Cinematography, Best Original Score, Best Original Song (""City of Stars""), and Best Production Design.[123]",ec56e12953db41d9b76c0b7dc5780004,,,,,,,,4
la la land,best actress,"At the 89th Academy Awards, La La Land received a leading six awards, namely Best Director, Best Actress (for Stone), Best Cinematography, Best Original Score, Best Original Song (""City of Stars""), and Best Production Design.[123] The film received a total of 14 nominations, tying the record for most nominations by a single film with All About Eve (1950) and Titanic (1997).[124] Its other nominations were Best Picture, Best Actor (for Gosling), Best Original Screenplay, Best Film Editing, Best Costume Design, a second nomination for Best Original Song (""Audition (The Fools Who Dream)""), Best Sound Editing, and Best Sound Mixing.[125] During the Oscars ceremony, presenter Faye Dunaway incorrectly announced that La La Land had won Best Picture, reading from the card Warren Beatty opened, which was actually a duplicate of the Best Actress card for Emma Stone.[126]",ec56e12953db41d9b76c0b7dc5780004,,,,,,,,4
la la land,best cinematography,"At the 89th Academy Awards, La La Land received a leading six awards, namely Best Director, Best Actress (for Stone), Best Cinematography, Best Original Score, Best Original Song (""City of Stars""), and Best Production Design.[123]",ec56e12953db41d9b76c0b7dc5780004,,,,,,,,4
la la land,best original score,"At the 89th Academy Awards, La La Land received a leading six awards, namely Best Director, Best Actress (for Stone), Best Cinematography, Best Original Score, Best Original Song (""City of Stars""), and Best Production Design.[123]",ec56e12953db41d9b76c0b7dc5780004,,,,,,,,4
la la land,best original song,"At the 89th Academy Awards, La La Land received a leading six awards, namely Best Director, Best Actress (for Stone), Best Cinematography, Best Original Score, ""City of Stars"", and Best Production Design.[123] The film received a total of 14 nominations, tying the record for most nominations by a single film with All About Eve (1950) and Titanic (1997).[124] Its other nominations were Best Picture, Best Actor (for Gosling), Best Original Screenplay, Best Film Editing, Best Costume Design, a second nomination for Best Original Song (""Audition (The Fools Who Dream)""), Best Sound Editing, and Best Sound Mixing.[125] During the Oscars ceremony, presenter Faye Dunaway incorrectly announced that La La Land had won Best Picture, reading from the card Warren Beatty opened, which was actually a duplicate of the Best Actress card for Emma Stone.[126]",ec56e12953db41d9b76c0b7dc5780004,,,,,,,,4
la la land,best production design,"At the 89th Academy Awards, La La Land received a leading six awards, namely Best Director, Best Actress (for Stone), Best Cinematography, Best Original Score, ""City of Stars"", and Best Production Design.[123]",ec56e12953db41d9b76c0b7dc5780004,,,,,,,,4
la la land,best picture,"The film received a total of 14 nominations, tying the record for most nominations by a single film with All About Eve (1950) and Titanic (1997).[124]",ec56e12953db41d9b76c0b7dc5780004,,,,,,,,4
la la land,best actor,"Its other nominations were Best Picture, Best Actor (for Gosling), Best Original Screenplay, Best Film Editing, Best Costume Design, a second nomination for Best Original Song (""Audition (The Fools Who Dream)""), Best Sound Editing, and Best Sound Mixing.[125]",ec56e12953db41d9b76c0b7dc5780004,,,,,,,,4
la la land,best original screenplay,"Its other nominations were Best Picture, Best Actor (for Gosling), Best Original Screenplay, Best Film Editing, Best Costume Design, a second nomination for Best Original Song (""Audition (The Fools Who Dream)""), Best Sound Editing, and Best Sound Mixing.[125] During the Oscars ceremony, presenter Faye Dunaway incorrectly announced that La La Land had won Best Picture, reading from the card Warren Beatty opened, which was actually a duplicate of the Best Actress card for Emma Stone.[126]",ec56e12953db41d9b76c0b7dc5780004,,,,,,,,4
la la land,best film editing,"Its other nominations were Best Picture, Best Actor (for Gosling), Best Original Screenplay, Best Film Editing, Best Costume Design, a second nomination for Best Original Song (""Audition (The Fools Who Dream)""), Best Sound Editing, and Best Sound Mixing.[125] During the Oscars ceremony, presenter Faye Dunaway incorrectly announced that La La Land had won Best Picture, reading from the card Warren Beatty opened, which was actually a duplicate of the Best Actress card for Emma Stone.[126]",ec56e12953db41d9b76c0b7dc5780004,,,,,,,,4
la la land,best costume design,"Its other nominations were Best Picture, Best Actor (for Gosling), Best Original Screenplay, Best Film Editing, Best Costume Design, a second nomination for Best Original Song (""Audition (The Fools Who Dream)""), Best Sound Editing, and Best Sound Mixing.[125] During the Oscars ceremony, presenter Faye Dunaway incorrectly announced that La La Land had won Best Picture, reading from the card Warren Beatty opened, which was actually a duplicate of the Best Actress card for Emma Stone.[126]",ec56e12953db41d9b76c0b7dc5780004,,,,,,,,4
la la land,best original song,"Its other nominations were Best Picture, Best Actor (for Gosling), Best Original Screenplay, Best Film Editing, Best Costume Design, ""Audition (The Fools Who Dream)"", Best Sound Editing, and Best Sound Mixing.[125] During the Oscars ceremony, presenter Faye Dunaway incorrectly announced that La La Land had won Best Picture, reading from the card Warren Beatty opened, which was actually a duplicate of the Best Actress card for Emma Stone.[126]",ec56e12953db41d9b76c0b7dc5780004,,,,,,,,4
la la land,best sound editing,"Its other nominations were Best Picture, Best Actor (for Gosling), Best Original Screenplay, Best Film Editing, Best Costume Design, ""Audition (The Fools Who Dream)"", Best Sound Editing, and Best Sound Mixing.[125] During the Oscars ceremony, presenter Faye Dunaway incorrectly announced that La La Land had won Best Picture, reading from the card Warren Beatty opened, which was actually a duplicate of the Best Actress card for Emma Stone.[126]",ec56e12953db41d9b76c0b7dc5780004,,,,,,,,4
la la land,best sound mixing,"Its other nominations were Best Picture, Best Actor (for Gosling), Best Original Screenplay, Best Film Editing, Best Costume Design, ""Audition (The Fools Who Dream)"", Best Sound Editing, and Best Sound Mixing.[125] During the Oscars ceremony, presenter Faye Dunaway incorrectly announced that La La Land had won Best Picture, reading from the card Warren Beatty opened, which was actually a duplicate of the Best Actress card for Emma Stone.[126]",ec56e12953db41d9b76c0b7dc5780004,,,,,,,,4
all about eve,la la land,"The film received a total of 14 nominations, tying the record for most nominations by a single film with All About Eve (1950) and Titanic (1997).[124]",ec56e12953db41d9b76c0b7dc5780004,,,,,,,,4
titanic,la la land,"The film received a total of 14 nominations, tying the record for most nominations by a single film with All About Eve (1950) and Titanic (1997).[124]",ec56e12953db41d9b76c0b7dc5780004,,,,,,,,4
la la land,best international film,"In March 2017, German comedians arranged for a Ryan Gosling impersonator to be awarded the 'Best International Film' prize for La La Land at the annual German film and television award, Goldene Kamera. This incident, known as 'GoslingGate', sparked criticism of the event's concept.",c507f3fe4c4a4233940bc64b1eba165f,,,,,,,,4
la la land,ryan gosling,"In March 2017, German comedians arranged for a Ryan Gosling impersonator to be awarded the 'Best International Film' prize for La La Land at the annual German film and television award, Goldene Kamera. The speaker for television broadcaster ZDF asked for the trophy to be given back, stating that La La Land had won the prize and that the trophy would be given to the real Ryan Gosling.",c507f3fe4c4a4233940bc64b1eba165f,,,,,,,,4
goldene kamera,la la land,"In March 2017, German comedians arranged for a Ryan Gosling impersonator to be awarded the 'Best International Film' prize for La La Land at the annual German film and television award, Goldene Kamera.",c507f3fe4c4a4233940bc64b1eba165f,,,,,,,,4
goldene kamera,german film and television award,The incident involving 'GoslingGate' played a major role in the cancellation of the Goldene Kamera in 2019.,c507f3fe4c4a4233940bc64b1eba165f,,,,,,,,4
goldene kamera,media critics,"Media critics argued that the 'Best International Film' award had only been created in an effort to get Ryan Gosling on the show, with no regards for the film's quality.",c507f3fe4c4a4233940bc64b1eba165f,,,,,,,,4
joko winterscheidt,klaas heufer-umlauf,"German comedians Joko Winterscheidt and Klaas Heufer-Umlauf arranged for a Ryan Gosling impersonator to be awarded the 'Best International Film' prize for La La Land at the annual German film and television award, Goldene Kamera.",c507f3fe4c4a4233940bc64b1eba165f,,,,,,,,4
joko winterscheidt,grimme award,"In 2018, Joko Winterscheidt and Klaas Heufer-Umlauf were awarded the Grimme Award for their media criticism.",c507f3fe4c4a4233940bc64b1eba165f,,,,,,,,4
broadway musical,la la land,"On February 7, 2023, it was announced that the film would be adapted into a Broadway musical by Platt and Lionsgate.",c507f3fe4c4a4233940bc64b1eba165f,,,,,,,,4
ryan gosling,la la land,"The speaker for television broadcaster ZDF asked for the trophy to be given back, stating that La La Land had won the prize and that the trophy would be given to the real Ryan Gosling.",c507f3fe4c4a4233940bc64b1eba165f,,,,,,,,4
pasek & paul,la la land,"Hurwitz, Pasek & Paul will return to write additional songs for the Broadway musical adaptation of La La Land.",c507f3fe4c4a4233940bc64b1eba165f,,,,,,,,4
so long boulder city,mia dolan's one-woman show,"A theatrical spin-off, So Long Boulder City, was created in 2017 by comedians Jimmy Fowlie and Jordan Black. The show was a full-length parody of Mia Dolan's one-woman show from the movie.",0952c359fa434fadae1fcba9ed66175f,,,,,,,,4
mia dolan,so long boulder city,"In So Long Boulder City, comedian Jimmy Fowlie portrays Mia Dolan in drag.",0952c359fa434fadae1fcba9ed66175f,,,,,,,,4
jimmy fowlie,so long boulder city,"Comedians Jimmy Fowlie and Jordan Black created a theatrical spin-off, So Long Boulder City, in 2017.",0952c359fa434fadae1fcba9ed66175f,,,,,,,,4
jordan black,so long boulder city,"Comedians Jimmy Fowlie and Jordan Black created a theatrical spin-off, So Long Boulder City, in 2017.",0952c359fa434fadae1fcba9ed66175f,,,,,,,,4
subculture off-broadway theater,so long boulder city,"After debuting in Los Angeles, the parody show So Long Boulder City enjoyed a run at the SubCulture Off-Broadway theater in New York City.",0952c359fa434fadae1fcba9ed66175f,,,,,,,,4
