node_1,node_2,edge,chunk_id,context,edge_cont,count
jack,homosexuality,"Some commentators accused the filmmakers for hiding content about homosexuality in advertising and public events, such as press conferences and award ceremonies. The director, cast, and publicists avoided using the word gay to describe the story.",4971995b18de429aa868eefb0a0fdd05,,,4
ennis,gay,The film's trailer did not show a kiss between Ennis and Jack but showed a heterosexual love scene. The use of the term gay to describe Ennis and Jack has been a topic of discussion among commentators.,4971995b18de429aa868eefb0a0fdd05,,,4
jack,gay,The film's trailer did not show a kiss between Ennis and Jack but showed a heterosexual love scene. The use of the term gay to describe Ennis and Jack has been a topic of discussion among commentators.,4971995b18de429aa868eefb0a0fdd05,,,4
ennis,proulx,"Author Annie Proulx praised the film as 'huge and powerful', adding, 'I may be the first writer in America to have a piece of writing make its way to the screen whole and entire. [...] I was astonished that the characters of Jack and Ennis came surging into my mind again'.",4971995b18de429aa868eefb0a0fdd05,,,4
brokeback mountain,best picture,Brokeback Mountain was nominated for the Academy Award for Best Picture at the 78th Academy Awards.,d6fb63cc1c654fb2a7fb674254c061d9,,,4
brokeback mountain,best director,"Brokeback Mountain was nominated in the category of Best Director for the film's director, Ang Lee, at the 78th Academy Awards.",d6fb63cc1c654fb2a7fb674254c061d9,,,4
brokeback mountain,original score,"Brokeback Mountain was nominated in the category of Original Score for the film's score, composed by Gustavo Santaolalla, at the 78th Academy Awards.",d6fb63cc1c654fb2a7fb674254c061d9,,,4
brokeback mountain,best motion picture - drama,Brokeback Mountain won the award for Best Motion Picture - Drama at the 63rd Golden Globe Awards.,d6fb63cc1c654fb2a7fb674254c061d9,,,4
brokeback mountain,best director,"Brokeback Mountain won the award for Best Director for the film's director, Ang Lee, at the 63rd Golden Globe Awards.",d6fb63cc1c654fb2a7fb674254c061d9,,,4
brokeback mountain,best adapted screenplay,Brokeback Mountain won the award for Best Adapted Screenplay at the 63rd Golden Globe Awards.,d6fb63cc1c654fb2a7fb674254c061d9,,,4
brokeback mountain,best supporting actor,Jake Gyllenhaal won the award for Best Supporting Actor at the 59th British Academy Film Awards for his role in Brokeback Mountain.,d6fb63cc1c654fb2a7fb674254c061d9,,,4
brokeback mountain,best film,Brokeback Mountain won the award for Best Film at the 59th British Academy Film Awards.,d6fb63cc1c654fb2a7fb674254c061d9,,,4
brokeback mountain,best direction,Ang Lee won the award for Best Direction at the 59th British Academy Film Awards for his direction of Brokeback Mountain.,d6fb63cc1c654fb2a7fb674254c061d9,,,4
brokeback mountain,best adapted screenplay,The screenplay for Brokeback Mountain won the award for Best Adapted Screenplay at the 59th British Academy Film Awards.,d6fb63cc1c654fb2a7fb674254c061d9,,,4
ennis and jack's sexuality,ambiguous,Others said they felt the characters' sexuality was meant to be ambiguous.,397f44c23131432aaa140ef76a7d9220,,,4
ennis and jack's experiences,"metaphors for many men who do not identify as gay or even queer, but who nevertheless have sex with other men","Clarence Patton and Christopher Murray of New York's Gay City News wrote that Ennis and Jack's experiences were metaphors for 'many men who do not identify as gay or even queer, but who nevertheless have sex with other men'.",397f44c23131432aaa140ef76a7d9220,,,4
ennis,bisexuality,"No explanation as to whether he is bisexual, so in need of physical intimacy that anyone, regardless of gender, will do, or merely very adept at faking it.",397f44c23131432aaa140ef76a7d9220,"Tom Ciorciari of EFilmCritic.com wrote: 'We later see Jack eagerly engage Lureen sexually, with no explanation as to whether he is bisexual'.",,4
jack,bisexuality,No explanation as to whether he is bisexual,397f44c23131432aaa140ef76a7d9220,,,4
ennis and jack,gayness,"Roger Ebert believed that both characters were gay, but doubted it themselves: 'Jack is able to accept a little more willingly that he is inescapably gay.' Producer James Schamus said, 'I suppose movies can be Rorschach tests for all of us, but damn if these characters aren't gay to me.'",397f44c23131432aaa140ef76a7d9220,,,4
brokeback mountain author annie proulx,readers' interpretations,"'how different readers take the story is a reflection of their own personal values, attitudes, hang-ups.'",397f44c23131432aaa140ef76a7d9220,,,4
ledger,mature enough as an actor to do the story justice,"relationship between Ledger and being mature enough as an actor to do the story justice is that when asked about playing a controversial role, Ledger expressed concern about not meeting this standard.",2dfcf922fc00471b95e20c54e0db643b,,,4
ledger,ennis del mar,Ledger played the character Ennis Del Mar in the film Brokeback Mountain. This relationship is depicted through Ledger's performance as Ennis Del Mar.,2dfcf922fc00471b95e20c54e0db643b,,,4
gyllenhaal,brokeback mountain,Gyllenhaal was cast in the film Brokeback Mountain. This relationship is depicted through Gyllenhaal's involvement in the production.,2dfcf922fc00471b95e20c54e0db643b,,,4
gyllenhaal,proud of the film,Gyllenhaal expressed pride in his work on Brokeback Mountain despite potential backlash. This relationship is depicted through Gyllenhaal's comments about the film.,2dfcf922fc00471b95e20c54e0db643b,,,4
ledger,bisexual rumors,Ledger responded to rumors of his bisexuality by stating that he was open to being called whatever people wanted to call him. This relationship is depicted through Ledger's statement about the rumors.,2dfcf922fc00471b95e20c54e0db643b,,,4
gyllenhaal,biserual,"Gyllenhaal stated that he had not been attracted to men sexually, but would not be afraid if it happened. This relationship is depicted through Gyllenhaal's comments about bisexuality.",2dfcf922fc00471b95e20c54e0db643b,,,4
lee,first sex scene,Lee described himself as shy during the filming of the first sex scene. This relationship is depicted through Lee's statement about his shyness during filming.,2dfcf922fc00471b95e20c54e0db643b,,,4
ledger,ennis del mar,Luke Davies described Ledger's portrayal of Ennis Del Mar as difficult and empowering due to the challenging environment of the film. This relationship is depicted through Davies' assessment of Ledger's performance.,2dfcf922fc00471b95e20c54e0db643b,,,4
brokeback mountain,lgbt cinema,"Brokeback Mountain, a critically acclaimed film, has been recognized as a landmark in the genre of LGBT cinema. Its success has led to increased funding and support for new gay-themed projects, challenging stereotypical representations and paving the way for films such as Milk, Transamerica, and I Love You Phillip Morris.",df7417dacffd46ecba8c38c408cb0dd0,,,4
brokeback mountain,major film studios,"As a result of Brokeback Mountain's success, major film studios have shown increased interest in funding and supporting new gay-themed projects, as recognized by Steven Paul Davies in Out at the Movies.",df7417dacffd46ecba8c38c408cb0dd0,,,4
brokeback mountain,films and television shows featuring lgbt themes and characters,"The impact of Brokeback Mountain has been far-reaching, with its success inspiring an increase in films and television shows featuring LGBT themes and characters.",df7417dacffd46ecba8c38c408cb0dd0,,,4
brokeback mountain,film financiers,"Thanks to Brokeback Mountain's success, film financiers have become more willing to back scripts that do not rely on gay stereotypes.",df7417dacffd46ecba8c38c408cb0dd0,,,4
brokeback mountain,american west and its iconic heroes,"As noted by author Jim Kitses, the emotional attack of Brokeback Mountain is driven in part by its subversion of the myth of the American West and its iconic heroes.",df7417dacffd46ecba8c38c408cb0dd0,,,4
brokeback mountain,gay-themed projects,"In a 2018 selection for preservation in the United States National Film Registry, Brokeback Mountain was recognized as being 'culturally, historically, or aesthetically significant' due to its impact on gay-themed projects and representations.",df7417dacffd46ecba8c38c408cb0dd0,,,4
brokeback mountain,american cowboys,"According to Jim Kitses, the relationship between American cowboys and man-love is portrayed in Brokeback Mountain as being 'inexplicable' and 'uncontrollable', challenging traditional notions of masculinity.",df7417dacffd46ecba8c38c408cb0dd0,,,4
ledger's characters,gyllenhaal's characters,"Both actors wore a pair of shirts in the context, and these shirts were sold on eBay for charity. This indicates a relation between their respective characters in this context.",5d1984321eca410288588b96adf1088e,,,4
variety,children's charity,The proceeds from selling the shirts went to benefit Children's Charity Variety. This shows a relationship between Variety and children's charities.,5d1984321eca410288588b96adf1088e,,,4
tom gregory,shirts worn by ledger's and gyllenhaal's characters,"Tom Gregory, a film historian and collector, bought the shirts worn by Ledger's and Gyllenhaal's characters for charity. This shows the relation between Tom Gregory, the characters, and the shirts.",5d1984321eca410288588b96adf1088e,,,4
autry national center,shirts worn by ledger's and gyllenhaal's characters,"The Autry National Center exhibited the shirts worn by Ledger's and Gyllenhaal's characters in its series, Out West. This indicates a relationship between the Autry National Center and the shirts.",5d1984321eca410288588b96adf1088e,,,4
autry national center,"history of homosexual, bisexual and transgender people in the old west","The series Out West at the Autry National Center explored the history of homosexual, bisexual, and transgender people in the Old West. This shows a relationship between the Autry National Center and this aspect of history.",5d1984321eca410288588b96adf1088e,,,4
beyond brokeback: the impact of a film,out west series program,The Autry screened Beyond Brokeback Mountain to commemorate the film's fifth anniversary and held a staged reading of Beyond Brokeback by historian and Out West organizer Gregory Hinton.,44c6768fdd584ad9b347ff90e32bceb0,,,4
beyond brokeback: the impact of a film,roosevelt university in chicago,"The staged reading of Beyond Brokeback was presented at Roosevelt University in Chicago on November 13, 2011.",44c6768fdd584ad9b347ff90e32bceb0,,,4
beyond brokeback: the impact of a film,american opera,"An American opera, Brokeback Mountain, was composed by Charles Wuorinen with a libretto by Annie Proulx.",44c6768fdd584ad9b347ff90e32bceb0,,,4
annie proulx,regrets writing the story,Proulx said she regrets writing the story Beyond Brokeback after several years of its release.,44c6768fdd584ad9b347ff90e32bceb0,,,4
annie proulx,too much fan fiction presenting alternative plots,Proulx said that people have sent her too much fan fiction presenting alternative plots after the film's release.,44c6768fdd584ad9b347ff90e32bceb0,,,4
annie proulx,men claiming to 'understand men better than i do',"Some authors, mostly men claiming to 'understand men better than I do'",44c6768fdd584ad9b347ff90e32bceb0,,often send their works to Annie Proulx.,4
the film,source of constant irritation in my private life,The author receives numerous manuscripts and rewrites from people who believe the story is open to interpretation and want to correct what they see as a disappointing story.,47bc04de3bec4921a988a1f9cb830b27,,,4
story,open range to explore fantasies,People think the story allows for their fantasies to be explored.,47bc04de3bec4921a988a1f9cb830b27,,,4
author,recipient of ghastly manuscripts and pornish rewrites,The author is sent numerous manuscripts and rewrites by people expecting praise and applause for 'fixing' the story.,47bc04de3bec4921a988a1f9cb830b27,,,4
ennis,finding a husky boyfriend,Many of the 'fix-it' tales sent to the author involve Ennis finding a husky boyfriend and living happily ever after.,47bc04de3bec4921a988a1f9cb830b27,,,4
jack,not really dead,Some of the 'fix-it' tales sent to the author have Jack not being truly dead.,47bc04de3bec4921a988a1f9cb830b27,,,4
two men's children,meeting and marrying,Other 'fix-it' tales involve the two men's children meeting and marrying.,47bc04de3bec4921a988a1f9cb830b27,,,4
