node_1,node_2,edge,chunk_id,node_3,node_4,node_5,edge1,count
inside out,family viewers,Approximately 71 percent of the viewers were families.,b6944a6cd2e0469fa6fd23e8e847b7c0,,,,,4
inside out,cannes premiere,The successful opening was attributed to its Cannes premiere.,b6944a6cd2e0469fa6fd23e8e847b7c0,,,,,4
inside out,drive-ins,"During the COVID-19 pandemic, restrictions on cinemas resulted in the closure of many theaters. However, Pixar's animated film Inside Out returned to 442 drive-in theaters and grossed $340,000.",61addb6af4f14669ae43d65d7732efd6,,,,,4
inside out,$858.8 million,The film 'Inside Out' grossed a total of $858.8 million globally.,a3ecbe0c73f24548afd193f029ea753a,,,,,4
inside out,china,Inside Out grossed $11.7 million in China during its opening weekend.,a3ecbe0c73f24548afd193f029ea753a,,,,,4
inside out,united states and canada,"Outside the U.S. And Canada, Inside Out grossed $40.3 million during its opening weekend in 37 markets.",a3ecbe0c73f24548afd193f029ea753a,,,,,4
inside out,top-grossing markets,"The top-grossing markets for Inside Out were China, the United Kingdom, Mexico, Russia, Italy, Germany, and South Korea.",a3ecbe0c73f24548afd193f029ea753a,,,,,4
inside out,russia,Inside Out was the first Pixar film to gross over one billion rubles in Russia.,a3ecbe0c73f24548afd193f029ea753a,,,,,4
united kingdom,inside out,"Inside Out grossed $59.4 million in the United Kingdom, making it the film's highest-grossing market.",a3ecbe0c73f24548afd193f029ea753a,,,,,4
japan,inside out,Inside Out grossed $33 million in Japan.,a3ecbe0c73f24548afd193f029ea753a,,,,,4
germany,inside out,Inside Out grossed $31.6 million in Germany.,a3ecbe0c73f24548afd193f029ea753a,,,,,4
mexico,inside out,Inside Out grossed $31.1 million in Mexico.,a3ecbe0c73f24548afd193f029ea753a,,,,,4
south korea,inside out,Inside Out grossed $30.9 million in South Korea.,a3ecbe0c73f24548afd193f029ea753a,,,,,4
france,inside out,Inside Out grossed $30.1 million in France.,a3ecbe0c73f24548afd193f029ea753a,,,,,4
italy,inside out,Inside Out grossed $27.1 million in Italy.,a3ecbe0c73f24548afd193f029ea753a,,,,,4
venezuela,inside out,Inside Out grossed $25.4 million in Venezuela.,a3ecbe0c73f24548afd193f029ea753a,,,,,4
australia,inside out,Inside Out grossed $24.2 million in Australia.,a3ecbe0c73f24548afd193f029ea753a,,,,,4
inside out,home entertainment,Walt Disney Studios released the computer-animated science fiction comedy-drama film Inside Out for digital download and later on Blu-ray and DVD under their home entertainment division Home Entertainment.,5b74d69e5faa4883978c3436a5f4dc55,,,,,4
inside out,best-selling home-video release,Inside Out was the best-selling home-video release of November 2015.,5b74d69e5faa4883978c3436a5f4dc55,,,,,4
inside out,number-five rental,Inside Out was the number-five rental during its release week.,5b74d69e5faa4883978c3436a5f4dc55,,,,,4
digital download,inside out,"Walt Disney Studios released Inside Out for digital download on October 13, 2015.",5b74d69e5faa4883978c3436a5f4dc55,,,,,4
blu-ray,inside out,"Walt Disney Studios released Inside Out on Blu-ray and DVD on November 3, 2015.",5b74d69e5faa4883978c3436a5f4dc55,,,,,4
behind-the-scenes featurettes,inside out,Physical copies of Inside Out contain behind-the-scenes featurettes.,5b74d69e5faa4883978c3436a5f4dc55,,,,,4
deleted scenes,inside out,Physical copies of Inside Out also include deleted scenes.,5b74d69e5faa4883978c3436a5f4dc55,,,,,4
riley's first date?,inside out,The short films Riley's First Date? and Lava are included in the physical release of Inside Out.,5b74d69e5faa4883978c3436a5f4dc55,,,,,4
lava,inside out,The short films Riley's First Date? and Lava are included in the physical release of Inside Out.,5b74d69e5faa4883978c3436a5f4dc55,,,,,4
inside out,critical acclaim,"The movie Inside Out received critical acclaim, as evidenced by its appearance on many critics' top-ten lists in 2015.",ea33567ddb9b450d8124fb0d6c629c05,,,,,4
inside out,rotten tomatoes,The movie Inside Out has an approval rating of 98% based on 384 professional reviews on the review aggregator website Rotten Tomatoes.,ea33567ddb9b450d8124fb0d6c629c05,,,,,4
inside out,list of top-ten lists,The movie Inside Out was listed on many critics' top-ten lists in 2015.,ea33567ddb9b450d8124fb0d6c629c05,,,,,4
inside out,animated classic,Inside Out is another outstanding addition to the Pixar library of modern animated classics.,ea33567ddb9b450d8124fb0d6c629c05,,,,,4
inside out,pixar library,Inside Out is another outstanding addition to the Pixar library of modern animated classics.,ea33567ddb9b450d8124fb0d6c629c05,,,,,4
inside out,decline in quality,"Before Inside Out's release, fans and critics were concerned by a perceived over-dependence on sequels on the part of Pixar that was exacerbated by the announcement of Toy Story 4 (2019), and their films' decline in quality.",ea33567ddb9b450d8124fb0d6c629c05,,,,,4
inside out,fans and critics,"Before Inside Out's release, fans and critics were concerned by a perceived over-dependence on sequels on the part of Pixar that was exacerbated by the announcement of Toy Story 4 (2019), and their films' decline in quality.",ea33567ddb9b450d8124fb0d6c629c05,,,,,4
inside out,dreamworks animation,The New York Times attributed this to DreamWorks Animation's financial problems.,ea33567ddb9b450d8124fb0d6c629c05,,,,,4
inside out,docter's direction,"Critics praised Inside Out's craftsmanship and Docter's direction, indicating a direct relation between the movie and its director's work.",2c0e2387e01b4a7eaea6505fbd3c2d85,,,,,4
inside out,pixar,"Critics praised Inside Out as a return to form for Pixar, suggesting that the movie is an integral part of the animation studio's legacy.",2c0e2387e01b4a7eaea6505fbd3c2d85,,,,,4
inside out,peter debruge (variety),"Critics praised Inside Out, including Peter Debruge from Variety, highlighting the film's positive critical reception.",2c0e2387e01b4a7eaea6505fbd3c2d85,,,,,4
inside out,kenneth turan (los angeles times),"Critics praised Inside Out, including Kenneth Turan from the Los Angeles Times, emphasizing the movie's acclaim.",2c0e2387e01b4a7eaea6505fbd3c2d85,,,,,4
inside out,todd mccarthy (the hollywood reporter),"Critics praised Inside Out, including Todd McCarthy from The Hollywood Reporter, demonstrating the film's critical acclaim.",2c0e2387e01b4a7eaea6505fbd3c2d85,,,,,4
inside out,engaging visuals,"Critics praised Inside Out's engaging visuals, as noted by Kenneth Turan from the Los Angeles Times and Richard Brody from The New Yorker.",2c0e2387e01b4a7eaea6505fbd3c2d85,,,,,4
inside out,message about the value of emotions,"Critics praised Inside Out's message about the value of emotions, including those made by Kenneth Turan from the Los Angeles Times and Richard Brody from The New Yorker.",2c0e2387e01b4a7eaea6505fbd3c2d85,,,,,4
inside out,depiction of riley's imagination,"Critics praised Inside Out's depiction of Riley's imagination, noted by Kenneth Turan from the Los Angeles Times.",2c0e2387e01b4a7eaea6505fbd3c2d85,,,,,4
inside out,originality,"Peter Debruge and Anthony Lane from The New Yorker praised Inside Out's originality, indicating a relationship between the film's unique qualities and its overall critical reception.",2c0e2387e01b4a7eaea6505fbd3c2d85,,,,,4
inside out,vulture's david edelstein,"David Edelstein from Vulture assessed Inside Out as a 'new pop-culture touchstone', highlighting its impact in popular culture.",2c0e2387e01b4a7eaea6505fbd3c2d85,,,,,4
inside out,the guardian critic peter bradshaw,Peter Bradshaw from The Guardian assessed Inside Out slightly inferior to Pixar's best works.,2c0e2387e01b4a7eaea6505fbd3c2d85,,,,,4
inside out,christopher gray (slant magazine),Christopher Gray from Slant Magazine assessed Inside Out as slightly inferior to Pixar's best works.,2c0e2387e01b4a7eaea6505fbd3c2d85,,,,,4
scriptwriting,themes,Forbes's Scott Mendelson praised the film's script and how it supports its themes.,6efb1a15a9454a0b9e2b402a98952f25,,,,,4
scriptwriting,story,The story skips from the beginning to the end as noted by Rene Rodriguez of the Miami Herald.,6efb1a15a9454a0b9e2b402a98952f25,,,,,4
characters inside riley's head,thin goals,Rene Rodriguez of the Miami Herald panned that characters inside Riley's head have thin goals.,6efb1a15a9454a0b9e2b402a98952f25,,,,,4
scriptwriting,tropes,"Leigh Singer of IGN noted the film's tropes including child devotion, teamwork, and confused chases.",6efb1a15a9454a0b9e2b402a98952f25,,,,,4
actors' performances,wonderful,Media reviews for the actors' performances were very positive; their work was described as 'wonderful'.,6efb1a15a9454a0b9e2b402a98952f25,,,,,4
characters,mental health,The Hindu's Udhav Naig saw the film as promoting mental health but panned its misinterpretation of brain functions.,6efb1a15a9454a0b9e2b402a98952f25,,,,,4
actors' performances,excellent,Media reviews for the actors' performances were very positive; their work was described as 'excellent'.,6efb1a15a9454a0b9e2b402a98952f25,,,,,4
characters inside riley's head,sense of humor,"Anger, a character in the film, is described as having the 'most perfect' character with a 'sense of humor and genuine care' by Magnett.",6efb1a15a9454a0b9e2b402a98952f25,,,,,4
scriptwriting,subject matter,Ann Hornaday (The Washington Post) and A. O. Scott (The New York Times) appreciated the film's entertaining subject matter.,6efb1a15a9454a0b9e2b402a98952f25,,,,,4
inside out,best original screenplay,"At the 88th Academy Awards, Inside Out received a nomination for Best Original Screenplay.",d409f89d5f2040d991a8acf994ec0e19,,,,,4
inside out,best animated feature,Inside Out received a nomination for Best Animated Feature at the 88th Academy Awards.,d409f89d5f2040d991a8acf994ec0e19,,,,,4
inside out,ten,Inside Out won ten Annie Awards.,d409f89d5f2040d991a8acf994ec0e19,,,,,4
inside out,national board of review,The National Board of Review named Inside Out one of the ten-best films of 2015.,d409f89d5f2040d991a8acf994ec0e19,,,,,4
best animated feature,inside out,Inside Out won Best Animated Feature at an unspecified award ceremony.,d409f89d5f2040d991a8acf994ec0e19,,,,,4
national board of review,best animated film award,The National Board of Review's Best Animated Film award was won by Inside Out.,d409f89d5f2040d991a8acf994ec0e19,,,,,4
emotions,riley's life,The central theme of Inside Out is the consequences and portrayal of emotions in relation to maintaining Riley's life.,a649c272474f4a3cb682631809d65379,,,,,4
honest,emotions,Those depicted in the film are 'honest' in their portrayal of emotions.,a649c272474f4a3cb682631809d65379,,,,,4
generous,emotions,Those depicted in the film are 'generous' in their portrayal of emotions.,a649c272474f4a3cb682631809d65379,,,,,4
neurotic,joy's attempts to deliver uninterrupted happiness become increasingly,Natasha Moore of the Australian ABC News said that Joy's attempts to deliver uninterrupted happiness become increasingly neurotic.,a649c272474f4a3cb682631809d65379,,,,,4
emotional and psychological balance,the different components of one person's personality are vital for that person's 'emotional and psychological balance',"Nicole Markotic said the film explores the relationship between 'the many and the one', demonstrating people have 'composite' personalities.",a649c272474f4a3cb682631809d65379,,,,,4
depression,distinct,This distinction is meant to '[offer] individuals strategies to avoid suppressing crucial feelings',a649c272474f4a3cb682631809d65379,Sadness,Distinct,,,4
emotional and psychological balance,depression and sadness are distinct in the film; this distinction is meant to '[offer] individuals strategies to avoid suppressing crucial feelings',"Nicole Markotic said the film explores the relationship between 'the many and the one', demonstrating people have 'composite' personalities.",a649c272474f4a3cb682631809d65379,,,,,4
validation,different emotions,This validation of different emotions helps people express themselves.,a649c272474f4a3cb682631809d65379,Marcarian,Hannah,Marcarian,"Writing in the British Journal of Psychiatry, Hannah Marcarian and Paul O. Wilkinson said this validation of different emotions helps people express themselves.",4
riley's life,depression and sadness are distinct in the film; this distinction is meant to '[offer] individuals strategies to avoid suppressing crucial feelings',"Nicole Markotic said the film explores the relationship between 'the many and the one', demonstrating people have 'composite' personalities.",a649c272474f4a3cb682631809d65379,,,,,4
inside out,major environmental changes,"According to USA Today's Jamie Altman, Inside Out shows that major environmental changes can be 'difficult, but not impossible, to overcome', and recommends it to college students experiencing homesickness or sadness.",7d72242e0e244bb68fc0b93dbb5dfe16,,,,,4
inside out,lawsuits,"Three lawsuits followed Inside Out's release, including one by pediatrician Denise Daniels, who claimed the film infringed on her pitch for a television series called The Moodsters.",7d72242e0e244bb68fc0b93dbb5dfe16,,,,,4
ruth bettelheim,inside out,Ruth Bettelheim of USA Today wrote about human responses to physical and social environments in the context of Inside Out.,7d72242e0e244bb68fc0b93dbb5dfe16,,,,,4
louise barrett,inside out,Primatologist Louise Barrett commented on disconnection between characters who are not relating to each other or their own emotions in Inside Out.,7d72242e0e244bb68fc0b93dbb5dfe16,,,,,4
inside out,one of the best animated films ever made,"According to Film and Philosophy, a philosophical journal, Inside Out is one of the best animated films ever made.",8507a02af1da4a6daefced084491eb9a,,,,,4
inside out,41st-best film of the 21st century,"A BBC poll of 177 film critics listed Inside Out as the 41st-best film of the 21st century,",8507a02af1da4a6daefced084491eb9a,,,,,4
inside out,7th-best film in the new york times' own list,"The New York Times placed it seventh on its own list,",8507a02af1da4a6daefced084491eb9a,,,,,4
inside out,made with code event for inside out,"Google started a Made with Code event for Inside Out named 'Inside HQ' to encourage children, especially girls, to study programming,",8507a02af1da4a6daefced084491eb9a,,,,,4
inside out,35 films recommended by the independent during the covid-19 pandemic,"During the COVID-19 pandemic, Inside Out was one of the 35 films recommended by The Independent,",8507a02af1da4a6daefced084491eb9a,,,,,4
riley's mother and maternal characters from other pixar films,buttocks-themed 'dump-truck' meme,"Riley's mother and maternal characters from other Pixar films were shown in a buttocks-themed 'Dump-Truck' meme,",8507a02af1da4a6daefced084491eb9a,,,,,4
joy and disgust,similarity with philippine supercouple nicknamed aldub,"A meme implying a similarity between Joy and Disgust and the Philippine supercouple nicknamed AlDub was posted on social media in 2015,",8507a02af1da4a6daefced084491eb9a,,,,,4
